phase,task,method,seed,run_dir,status,checkpoint_exists,eval_exists,log_exists,has_error,recommended_action
core_100k,SafetyCarGoal1-v0,current_only_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarGoal1-v0/current_only_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarGoal1-v0,current_only_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarGoal1-v0/current_only_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarGoal1-v0,sac_lag,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarGoal1-v0/sac_lag/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarGoal1-v0,sac_lag,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarGoal1-v0/sac_lag/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarGoal1-v0,sac_lag,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarGoal1-v0/sac_lag/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarGoal1-v0,star_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarGoal1-v0,star_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarGoal1-v0,star_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,pointwise_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,pointwise_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,pointwise_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,current_only_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,current_only_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,current_only_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,sac_lag,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,sac_lag,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,sac_lag,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,star_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,star_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyPointButton1-v0,star_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,pointwise_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,pointwise_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,pointwise_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,current_only_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,current_only_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,current_only_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,sac_lag,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,sac_lag,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,sac_lag,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,star_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s10,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,star_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s11,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_100k,SafetyCarButton1-v0,star_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/core_100k/SafetyCarButton1-v0/star_v2/starv2_core_100k_SafetyCarButton1_v0_selected_star_v2_star_v2_s12,COMPLETED_TRAINING_AND_EVAL,True,True,True,False,skip
core_gate,,,,/root/FLAC-Safe-star-v2/reports/star_v2_final/core_100k/gate.md,COMPLETED_TRAINING,,True,,False,skip
resume_300k,SafetyPointGoal1-v0,pointwise_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/pointwise_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s10,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,pointwise_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/pointwise_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s11,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,pointwise_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/pointwise_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s12,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,current_only_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/current_only_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s10,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,current_only_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/current_only_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s11,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,current_only_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/current_only_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s12,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,sac_lag,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/sac_lag/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s10,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,sac_lag,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/sac_lag/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s11,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,sac_lag,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/sac_lag/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s12,COMPLETED_TRAINING_NEEDS_EVAL,True,False,True,False,eval_only
resume_300k,SafetyPointGoal1-v0,star_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10,RUNNING,False,False,True,False,skip
resume_300k,SafetyPointGoal1-v0,star_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11,RUNNING,False,False,True,False,skip
resume_300k,SafetyPointGoal1-v0,star_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12,RUNNING,False,False,True,False,skip
resume_300k,SafetyCarGoal1-v0,pointwise_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/pointwise_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s10,RUNNING,False,False,True,False,skip
resume_300k,SafetyCarGoal1-v0,pointwise_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/pointwise_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s11,RUNNING,False,False,True,False,skip
resume_300k,SafetyCarGoal1-v0,pointwise_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/pointwise_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_pointwise_v2_pointwise_v2_s12,RUNNING,False,False,True,False,skip
resume_300k,SafetyCarGoal1-v0,current_only_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/current_only_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarGoal1-v0,current_only_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/current_only_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarGoal1-v0,current_only_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/current_only_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_current_only_v2_current_only_v2_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarGoal1-v0,sac_lag,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/sac_lag/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarGoal1-v0,sac_lag,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/sac_lag/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarGoal1-v0,sac_lag,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/sac_lag/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarGoal1-v0,star_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarGoal1-v0,star_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarGoal1-v0,star_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,pointwise_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,pointwise_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,pointwise_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,current_only_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,current_only_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,current_only_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,sac_lag,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,sac_lag,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,sac_lag,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,star_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,star_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyPointButton1-v0,star_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,pointwise_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,pointwise_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,pointwise_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/pointwise_v2/starv2_core_100k_SafetyCarButton1_v0_selected_pointwise_v2_pointwise_v2_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,current_only_v2,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,current_only_v2,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,current_only_v2,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/current_only_v2/starv2_core_100k_SafetyCarButton1_v0_selected_current_only_v2_current_only_v2_s12,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,sac_lag,10,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s10,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,sac_lag,11,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s11,PENDING,False,False,False,False,resume_training
resume_300k,SafetyCarButton1-v0,sac_lag,12,/root/FLAC-Safe-star-v2/results/star_v2_final/resume_300k/SafetyCarButton1-v0/sac_lag/starv2_core_100k_SafetyCarButton1_v0_selected_sac_lag_sac_lag_s12,PENDING,False,False,False,False,resume_training
