phase,task,method,seed,source_kind,source_file,rows
resume_300k,SafetyCarGoal1-v0,sac_lag,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/sac_lag/starv2_core_100k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s12/train_episodes.csv,200
resume_300k,SafetyCarGoal1-v0,sac_lag,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/sac_lag/starv2_resume_300k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s13/train_episodes.csv,300
resume_300k,SafetyCarGoal1-v0,sac_lag,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/sac_lag/starv2_resume_300k_SafetyCarGoal1_v0_selected_sac_lag_sac_lag_s14/train_episodes.csv,300
resume_300k,SafetyCarGoal1-v0,star_v2,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s10/train_episodes.csv,200
resume_300k,SafetyCarGoal1-v0,star_v2,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s11/train_episodes.csv,200
resume_300k,SafetyCarGoal1-v0,star_v2,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_core_100k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s12/train_episodes.csv,200
resume_300k,SafetyCarGoal1-v0,star_v2,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s13/train_episodes.csv,300
resume_300k,SafetyCarGoal1-v0,star_v2,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyCarGoal1-v0/star_v2/starv2_resume_300k_SafetyCarGoal1_v0_selected_star_v2_star_v2_s14/train_episodes.csv,300
resume_300k,SafetyPointButton1-v0,current_only_v2,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,current_only_v2,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s11/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,current_only_v2,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/current_only_v2/starv2_core_100k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s12/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,current_only_v2,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/current_only_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s13/train_episodes.csv,300
resume_300k,SafetyPointButton1-v0,current_only_v2,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/current_only_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_current_only_v2_current_only_v2_s14/train_episodes.csv,300
resume_300k,SafetyPointButton1-v0,pointwise_v2,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s10/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,pointwise_v2,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s11/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,pointwise_v2,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/pointwise_v2/starv2_core_100k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s12/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,pointwise_v2,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/pointwise_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s13/train_episodes.csv,300
resume_300k,SafetyPointButton1-v0,pointwise_v2,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/pointwise_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_pointwise_v2_pointwise_v2_s14/train_episodes.csv,300
resume_300k,SafetyPointButton1-v0,sac_lag,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s10/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,sac_lag,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s11/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,sac_lag,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/sac_lag/starv2_core_100k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s12/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,sac_lag,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/sac_lag/starv2_resume_300k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s13/train_episodes.csv,300
resume_300k,SafetyPointButton1-v0,sac_lag,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/sac_lag/starv2_resume_300k_SafetyPointButton1_v0_selected_sac_lag_sac_lag_s14/train_episodes.csv,300
resume_300k,SafetyPointButton1-v0,star_v2,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s10/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,star_v2,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s11/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,star_v2,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_core_100k_SafetyPointButton1_v0_selected_star_v2_star_v2_s12/train_episodes.csv,200
resume_300k,SafetyPointButton1-v0,star_v2,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s13/train_episodes.csv,300
resume_300k,SafetyPointButton1-v0,star_v2,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointButton1-v0/star_v2/starv2_resume_300k_SafetyPointButton1_v0_selected_star_v2_star_v2_s14/train_episodes.csv,300
resume_300k,SafetyPointGoal1-v0,current_only_v2,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/current_only_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s10/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,current_only_v2,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/current_only_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s11/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,current_only_v2,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/current_only_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s12/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,current_only_v2,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/current_only_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s13/train_episodes.csv,300
resume_300k,SafetyPointGoal1-v0,current_only_v2,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/current_only_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_current_only_v2_current_only_v2_s14/train_episodes.csv,300
resume_300k,SafetyPointGoal1-v0,pointwise_v2,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/pointwise_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s10/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,pointwise_v2,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/pointwise_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s11/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,pointwise_v2,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/pointwise_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s12/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,pointwise_v2,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/pointwise_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s13/train_episodes.csv,300
resume_300k,SafetyPointGoal1-v0,pointwise_v2,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/pointwise_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_pointwise_v2_pointwise_v2_s14/train_episodes.csv,300
resume_300k,SafetyPointGoal1-v0,sac_lag,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/sac_lag/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s10/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,sac_lag,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/sac_lag/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s11/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,sac_lag,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/sac_lag/starv2_core_100k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s12/train_episodes.csv,200
resume_300k,SafetyPointGoal1-v0,sac_lag,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/sac_lag/starv2_resume_300k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s13/train_episodes.csv,300
resume_300k,SafetyPointGoal1-v0,sac_lag,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/sac_lag/starv2_resume_300k_SafetyPointGoal1_v0_selected_sac_lag_sac_lag_s14/train_episodes.csv,300
resume_300k,SafetyPointGoal1-v0,star_v2,10,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s10/train_episodes.csv,366
resume_300k,SafetyPointGoal1-v0,star_v2,11,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s11/train_episodes.csv,363
resume_300k,SafetyPointGoal1-v0,star_v2,12,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_core_100k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s12/train_episodes.csv,358
resume_300k,SafetyPointGoal1-v0,star_v2,13,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s13/train_episodes.csv,300
resume_300k,SafetyPointGoal1-v0,star_v2,14,train,/root/autodl-tmp/star_v2_storage/results/star_v2_final/resume_300k/SafetyPointGoal1-v0/star_v2/starv2_resume_300k_SafetyPointGoal1_v0_selected_star_v2_star_v2_s14/train_episodes.csv,300
